Time,CRCErrors_Current_Value,CRCErrors_Severity,CRCErrors_Min_Current_Value,CRCErrors_Max_Current_Value,DownlinkJitter_Current_Value,DownlinkJitter_Severity,DownlinkJitter_Warning.Threshold,DownlinkJitter_Critical.Threshold,DownlinkJitter_Min_Current_Value,DownlinkJitter_Max_Current_Value,DownlinkRSSI_Current_Value,DownlinkRSSI_Severity,DownlinkRSSI_Warning.Threshold,DownlinkRSSICritical.Threshold,DownlinkRSSI_Min_Current_Value,DownlinkRSSI_Max_Current_Value,DownlinkUtilization_Current_Value,DownlinkUtilization_Severity,DownlinkUtilization_Min_Current_Value,DownlinkUtilization_Max_Current_Value,Frequency_Current_Value,Frequency_Severity,Frequency_Min_Current_Value,Frequency_Max_Current_Value,Latency_Current_Value,Latency_Severity,Latency_Warning.Threshold,Latency_Critical.Threshold,Latency_Min_Current_Value,Latency_Max_Current_Value,PacketDrop_Current_Value,PacketDrop_Severity,PacketDrop_Warning.Threshold,PacketDrop_Critical.Threshold,PacketDrop_Min_Current_Value,PacketDrop_Max_Current_Value,SessionUptime_Current_Value,SessionUptime_Severity,SessionUptime_Min_Current_Value,SessionUptime_Max_Current_Value,SSBeacon_Current_Value,SSBeacon_Severity,SSBeacon_Warning.Threshold,SSBeacon_Critical.Threshold,SSBeacon_Min_Current_Value,SSBeacon_Max_Current_Value,SSProvisoningState_Current_Value,SSProvisoningState_Severity,SSProvisoningState_Min_Current_Value,SSProvisoningState_Max_Current_Value,UplinkJitter_Current_Value,UplinkJitter_Severity,UplinkJitter_Warning.Threshold,UplinkJitter_Critical.Threshold,UplinkJitter_Min_Current_Value,UplinkJitter_Max_Current_Value,UplinkRSSI_Current_Value,UplinkRSSI_Severity,UplinkRSSI_Warning.Threshold,UplinkRSSI_Critical.Threshold,UplinkRSSI_Min_Current_Value,UplinkRSSI_Max_Current_Value,UplinkUtilization_Current_Value,UplinkUtilization_Severity,UplinkUtilization_Min_Current_Value,UplinkUtilization_Max_Current_Value,Uptime_Current_Value,Uptime_Severity,Uptime_Min_Current_Value,Uptime_Max_Current_Value
01/11/17 0:00,4,ok,4,4,5,ok,6,10,5,5,-57,ok,-75,Crititcal.Threshold,-57,-57,0.02,ok,0.02,0.02,5865,ok,5865,5865,39.722,warning,20,41,39.722,39.722,0,up,10,20,0,0,12047,ok,12047,12047,99,ok,80,60,99,99,normal,ok,normal,normal,2,ok,6,10,2,2,-60,ok,-75,-80,-60,-60,0.01,ok,0.01,0.01,1329708,ok,1329708,1329708
01/11/17 0:05,4,ok,4,4,5,ok,6,10,5,5,-56,ok,-75,Crititcal.Threshold,-56,-56,0,ok,0,0,5865,ok,5865,5865,39.155,warning,20,41,39.155,39.155,0,up,10,20,0,0,12342,ok,12342,12342,99,ok,80,60,99,99,normal,ok,normal,normal,3,ok,6,10,3,3,-59,ok,-75,-80,-59,-59,0,ok,0,0,1330003,ok,1330003,1330003
01/11/17 0:15,4,ok,4,4,4,ok,6,10,4,4,-55,ok,-75,Crititcal.Threshold,-55,-55,0,ok,0,0,5865,ok,5865,5865,38.901,warning,20,41,38.901,38.901,0,up,10,20,0,0,12932,ok,12932,12932,99,ok,80,60,99,99,normal,ok,normal,normal,2,ok,6,10,2,2,-59,ok,-75,-80,-59,-59,0,ok,0,0,1330593,ok,1330593,1330593
01/11/17 0:20,4,ok,4,4,3,ok,6,10,3,3,-55,ok,-75,Crititcal.Threshold,-55,-55,0,ok,0,0,5865,ok,5865,5865,40.305,warning,20,41,40.305,40.305,0,up,10,20,0,0,13227,ok,13227,13227,99,ok,80,60,99,99,normal,ok,normal,normal,2,ok,6,10,2,2,-59,ok,-75,-80,-59,-59,0,ok,0,0,1330888,ok,1330888,1330888
01/11/17 0:25,4,ok,4,4,5,ok,6,10,5,5,-55,ok,-75,Crititcal.Threshold,-55,-55,0,ok,0,0,5865,ok,5865,5865,38.816,warning,20,41,38.816,38.816,0,up,10,20,0,0,13522,ok,13522,13522,99,ok,80,60,99,99,normal,ok,normal,normal,4,ok,6,10,4,4,-59,ok,-75,-80,-59,-59,0,ok,0,0,1331183,ok,1331183,1331183
01/11/17 0:30,4,ok,4,4,5,ok,6,10,5,5,-55,ok,-75,Crititcal.Threshold,-55,-55,0,ok,0,0,5865,ok,5865,5865,38.864,warning,20,41,38.864,38.864,0,up,10,20,0,0,13817,ok,13817,13817,99,ok,80,60,99,99,normal,ok,normal,normal,3,ok,6,10,3,3,-59,ok,-75,-80,-59,-59,0,ok,0,0,1331479,ok,1331479,1331479
01/11/17 0:35,4,ok,4,4,6,warning,6,10,6,6,-58,ok,-75,Crititcal.Threshold,-58,-58,0,ok,0,0,5865,ok,5865,5865,39.421,warning,20,41,39.421,39.421,0,up,10,20,0,0,14113,ok,14113,14113,99,ok,80,60,99,99,normal,ok,normal,normal,3,ok,6,10,3,3,-61,ok,-75,-80,-61,-61,0,ok,0,0,1331774,ok,1331774,1331774
01/11/17 0:40,4,ok,4,4,5,ok,6,10,5,5,-58,ok,-75,Crititcal.Threshold,-58,-58,0,ok,0,0,5865,ok,5865,5865,54.759,critical,20,41,54.759,54.759,0,up,10,20,0,0,14407,ok,14407,14407,99,ok,80,60,99,99,normal,ok,normal,normal,2,ok,6,10,2,2,-61,ok,-75,-80,-61,-61,0,ok,0,0,1332068,ok,1332068,1332068
01/11/17 0:50,4,ok,4,4,9,warning,6,10,9,9,-58,ok,-75,Crititcal.Threshold,-58,-58,0,ok,0,0,5865,ok,5865,5865,40.273,warning,20,41,40.273,40.273,0,up,10,20,0,0,388,ok,388,388,99,ok,80,60,99,99,jitter,ok,jitter,jitter,3,ok,6,10,3,3,-61,ok,-75,-80,-61,-61,0,ok,0,0,1332659,ok,1332659,1332659
01/11/17 0:55,4,ok,4,4,5,ok,6,10,5,5,-59,ok,-75,Crititcal.Threshold,-59,-59,0,ok,0,0,5865,ok,5865,5865,38.549,warning,20,41,38.549,38.549,0,up,10,20,0,0,682,ok,682,682,100,ok,80,60,100,100,jitter,ok,jitter,jitter,2,ok,6,10,2,2,-61,ok,-75,-80,-61,-61,0,ok,0,0,1332953,ok,1332953,1332953
