Time,CRCErrors_Current_Value,CRCErrors_Severity,CRCErrors_Min_Current_Value,CRCErrors_Max_Current_Value,DownlinkJitter_Current_Value,DownlinkJitter_Severity,DownlinkJitter_Warning.Threshold,DownlinkJitter_Critical.Threshold,DownlinkJitter_Min_Current_Value,DownlinkJitter_Max_Current_Value,DownlinkRSSI_Current_Value,DownlinkRSSI_Severity,DownlinkRSSI_Warning.Threshold,DownlinkRSSICritical.Threshold,DownlinkRSSI_Min_Current_Value,DownlinkRSSI_Max_Current_Value,DownlinkUtilization_Current_Value,DownlinkUtilization_Severity,DownlinkUtilization_Min_Current_Value,DownlinkUtilization_Max_Current_Value,Frequency_Current_Value,Frequency_Severity,Frequency_Min_Current_Value,Frequency_Max_Current_Value,Latency_Current_Value,Latency_Severity,Latency_Warning.Threshold,Latency_Critical.Threshold,Latency_Min_Current_Value,Latency_Max_Current_Value,PacketDrop_Current_Value,PacketDrop_Severity,PacketDrop_Warning.Threshold,PacketDrop_Critical.Threshold,PacketDrop_Min_Current_Value,PacketDrop_Max_Current_Value,SessionUptime_Current_Value,SessionUptime_Severity,SessionUptime_Min_Current_Value,SessionUptime_Max_Current_Value,SSBeacon_Current_Value,SSBeacon_Severity,SSBeacon_Warning.Threshold,SSBeacon_Critical.Threshold,SSBeacon_Min_Current_Value,SSBeacon_Max_Current_Value,SSProvisoningState_Current_Value,SSProvisoningState_Severity,SSProvisoningState_Min_Current_Value,SSProvisoningState_Max_Current_Value,UplinkJitter_Current_Value,UplinkJitter_Severity,UplinkJitter_Warning.Threshold,UplinkJitter_Critical.Threshold,UplinkJitter_Min_Current_Value,UplinkJitter_Max_Current_Value,UplinkRSSI_Current_Value,UplinkRSSI_Severity,UplinkRSSI_Warning.Threshold,UplinkRSSI_Critical.Threshold,UplinkRSSI_Min_Current_Value,UplinkRSSI_Max_Current_Value,UplinkUtilization_Current_Value,UplinkUtilization_Severity,UplinkUtilization_Min_Current_Value,UplinkUtilization_Max_Current_Value,Uptime_Current_Value,Uptime_Severity,Uptime_Min_Current_Value,Uptime_Max_Current_Value
05/09/17 9:35,11,ok,11,11,6,warning,6,10,6,6,-62,ok,-75,Crititcal.Threshold,-62,-62,0,ok,0,0,5865,ok,5865,5865,38.629,warning,20,41,38.629,38.629,0,up,10,20,0,0,3276,ok,3276,3276,99,ok,80,60,99,99,normal,ok,normal,normal,4,ok,6,10,4,4,-71,ok,-75,-80,-71,-71,0,ok,0,0,2838477,ok,2838477,2838477
05/09/17 9:40,11,ok,11,11,5,ok,6,10,5,5,-63,ok,-75,Crititcal.Threshold,-63,-63,0.09,ok,0.09,0.09,5865,ok,5865,5865,40.344,warning,20,41,40.344,40.344,0,up,10,20,0,0,3570,ok,3570,3570,98,ok,80,60,98,98,normal,ok,normal,normal,3,ok,6,10,3,3,-71,ok,-75,-80,-71,-71,0.03,ok,0.03,0.03,2838771,ok,2838771,2838771
05/09/17 9:50,11,ok,11,11,5,ok,6,10,5,5,-69,ok,-75,Crititcal.Threshold,-69,-69,0.01,ok,0.01,0.01,5865,ok,5865,5865,41.261,critical,20,41,41.261,41.261,0,up,10,20,0,0,4158,ok,4158,4158,90,ok,80,60,90,90,normal,ok,normal,normal,3,ok,6,10,3,3,-72,ok,-75,-80,-72,-72,0.01,ok,0.01,0.01,2839358,ok,2839358,2839358
05/09/17 9:55,11,ok,11,11,8,warning,6,10,8,8,-69,ok,-75,Crititcal.Threshold,-69,-69,0.02,ok,0.02,0.02,5865,ok,5865,5865,40.257,warning,20,41,40.257,40.257,0,up,10,20,0,0,4454,ok,4454,4454,91,ok,80,60,91,91,jitter,ok,jitter,jitter,3,ok,6,10,3,3,-73,ok,-75,-80,-73,-73,0.01,ok,0.01,0.01,2839654,ok,2839654,2839654
05/09/17 10:00,11,ok,11,11,12,critical,6,10,12,12,-69,ok,-75,Crititcal.Threshold,-69,-69,0.02,ok,0.02,0.02,5865,ok,5865,5865,40.55,warning,20,41,40.55,40.55,0,up,10,20,0,0,4750,ok,4750,4750,91,ok,80,60,91,91,jitter,ok,jitter,jitter,4,ok,6,10,4,4,-75,ok,-75,-80,-75,-75,0.01,ok,0.01,0.01,2839950,ok,2839950,2839950
05/09/17 10:05,11,ok,11,11,6,warning,6,10,6,6,-70,ok,-75,Crititcal.Threshold,-70,-70,0.03,ok,0.03,0.03,5865,ok,5865,5865,40.242,warning,20,41,40.242,40.242,0,up,10,20,0,0,5044,ok,5044,5044,96,ok,80,60,96,96,normal,ok,normal,normal,3,ok,6,10,3,3,-75,ok,-75,-80,-75,-75,0.02,ok,0.02,0.02,2840245,ok,2840245,2840245
05/09/17 10:10,11,ok,11,11,4,ok,6,10,4,4,-68,ok,-75,Crititcal.Threshold,-68,-68,0.02,ok,0.02,0.02,5865,ok,5865,5865,38.821,warning,20,41,38.821,38.821,0,up,10,20,0,0,5339,ok,5339,5339,96,ok,80,60,96,96,normal,ok,normal,normal,3,ok,6,10,3,3,-73,ok,-75,-80,-73,-73,0.01,ok,0.01,0.01,2840539,ok,2840539,2840539
05/09/17 10:20,11,ok,11,11,8,warning,6,10,8,8,-63,ok,-75,Crititcal.Threshold,-63,-63,0.01,ok,0.01,0.01,5865,ok,5865,5865,39.565,warning,20,41,39.565,39.565,0,up,10,20,0,0,5929,ok,5929,5929,97,ok,80,60,97,97,normal,ok,normal,normal,2,ok,6,10,2,2,-69,ok,-75,-80,-69,-69,0.01,ok,0.01,0.01,2841129,ok,2841129,2841129
05/09/17 10:25,11,ok,11,11,7,warning,6,10,7,7,-67,ok,-75,Crititcal.Threshold,-67,-67,0.01,ok,0.01,0.01,5865,ok,5865,5865,42.362,critical,20,41,42.362,42.362,0,up,10,20,0,0,6224,ok,6224,6224,96,ok,80,60,96,96,normal,ok,normal,normal,2,ok,6,10,2,2,-70,ok,-75,-80,-70,-70,0.02,ok,0.02,0.02,2841424,ok,2841424,2841424
05/09/17 10:30,11,ok,11,11,7,warning,6,10,7,7,-68,ok,-75,Crititcal.Threshold,-68,-68,0.42,ok,0.42,0.42,5865,ok,5865,5865,56.566,critical,20,41,56.566,56.566,0,up,10,20,0,0,6518,ok,6518,6518,94,ok,80,60,94,94,normal,ok,normal,normal,4,ok,6,10,4,4,-74,ok,-75,-80,-74,-74,0.04,ok,0.04,0.04,2841718,ok,2841718,2841718
05/09/17 10:35,11,ok,11,11,8,warning,6,10,8,8,-69,ok,-75,Crititcal.Threshold,-69,-69,0.06,ok,0.06,0.06,5865,ok,5865,5865,59.881,critical,20,41,59.881,59.881,0,up,10,20,0,0,6816,ok,6816,6816,90,ok,80,60,90,90,normal,ok,normal,normal,4,ok,6,10,4,4,-74,ok,-75,-80,-74,-74,0.02,ok,0.02,0.02,2842017,ok,2842017,2842017
05/09/17 10:40,11,ok,11,11,9,warning,6,10,9,9,-71,ok,-75,Crititcal.Threshold,-71,-71,0.05,ok,0.05,0.05,5865,ok,5865,5865,38.799,warning,20,41,38.799,38.799,0,up,10,20,0,0,7108,ok,7108,7108,93,ok,80,60,93,93,jitter,ok,jitter,jitter,3,ok,6,10,3,3,-75,ok,-75,-80,-75,-75,0.02,ok,0.02,0.02,2842309,ok,2842309,2842309
05/09/17 10:50,11,ok,11,11,7,warning,6,10,7,7,-72,ok,-75,Crititcal.Threshold,-72,-72,0.02,ok,0.02,0.02,5865,ok,5865,5865,45.083,critical,20,41,45.083,45.083,0,up,10,20,0,0,7700,ok,7700,7700,96,ok,80,60,96,96,normal,ok,normal,normal,2,ok,6,10,2,2,-76,warning,-75,-80,-76,-76,0.02,ok,0.02,0.02,2842900,ok,2842900,2842900
05/09/17 10:55,11,ok,11,11,7,warning,6,10,7,7,-73,ok,-75,Crititcal.Threshold,-73,-73,0.29,ok,0.29,0.29,5865,ok,5865,5865,40.495,warning,20,41,40.495,40.495,0,up,10,20,0,0,7994,ok,7994,7994,92,ok,80,60,92,92,normal,ok,normal,normal,3,ok,6,10,3,3,-76,warning,-75,-80,-76,-76,0.02,ok,0.02,0.02,2843194,ok,2843194,2843194
